filename,distance
image_0042.jpg,0.03
image_0948.jpg,1311.88
image_0955.jpg,1320.03
image_1006.jpg,1383.49
image_0597.jpg,1557.51
image_1031.jpg,1628.08
image_0858.jpg,1888.26
image_0104.jpg,2047.71
image_0316.jpg,2202.31
image_0896.jpg,2206.42
image_1292.jpg,2223.91
image_0071.jpg,2274.14
image_0257.jpg,2311.47
image_0363.jpg,2379.81
image_0612.jpg,2456.88
image_0894.jpg,2634.94
image_0566.jpg,2686.79
image_1155.jpg,2731.15
image_0084.jpg,2742.29
image_0468.jpg,2931.33
image_0411.jpg,2931.82
image_0020.jpg,2949.87
image_0587.jpg,3004.89
image_0596.jpg,3008.04
image_1013.jpg,3148.07
image_0593.jpg,3261.48
image_0457.jpg,3275.5
image_0089.jpg,3312.71
image_0452.jpg,3325.33
image_0910.jpg,3333.37
image_0937.jpg,3355.95
image_0912.jpg,3483.73
image_0594.jpg,3516.21
image_1325.jpg,3675.91
image_0500.jpg,3682.31
image_0291.jpg,3733.5
image_0040.jpg,3811.93
image_1287.jpg,3887.95
image_0066.jpg,4115.57
image_0096.jpg,4150.61
image_0874.jpg,4170.88
image_0526.jpg,4323.5
image_1164.jpg,4459.25
image_0197.jpg,4480.14
image_0111.jpg,4590.54
image_0855.jpg,4676.75
image_0820.jpg,4677.48
image_1014.jpg,4902.09
image_0142.jpg,4978.43
image_0545.jpg,5198.54
image_0075.jpg,5338.6
image_1258.jpg,6097.69
image_0246.jpg,6110.98
image_0720.jpg,6141.17
image_0688.jpg,6258.06
image_0007.jpg,6351.39
image_0001.jpg,6383.15
image_0992.jpg,6389.39
image_1011.jpg,6389.94
image_0011.jpg,6471.34
image_0067.jpg,6550.4
image_1112.jpg,6631.35
image_0121.jpg,6720.22
image_0867.jpg,6754.7
image_0535.jpg,6985.65
image_0846.jpg,6993.16
image_1286.jpg,7171.66
image_1162.jpg,7374.22
image_0051.jpg,7415.18
image_0028.jpg,7417.09
image_0259.jpg,7472.88
image_0101.jpg,7536.03
image_0375.jpg,7569.41
image_0576.jpg,7580.39
image_1201.jpg,7621.44
image_0790.jpg,8010.31
image_1354.jpg,8157.88
image_0030.jpg,8410.62
image_0358.jpg,8557.34
image_0805.jpg,8611.73
image_0668.jpg,8616.35
image_1122.jpg,8688.35
image_0122.jpg,8748.25
image_1319.jpg,8965.38
image_0158.jpg,8987.9
image_0808.jpg,9046.29
image_0602.jpg,9060.25
image_1015.jpg,9109.65
image_0322.jpg,9116.32
image_0922.jpg,9454.95
image_1308.jpg,9551.13
image_0145.jpg,9835.72
image_0817.jpg,10030.92
image_1236.jpg,10300.36
image_0562.jpg,10457.55
image_1181.jpg,10790.95
image_0620.jpg,10890.88
image_0845.jpg,10901.06
image_1088.jpg,11014.56
image_0065.jpg,11771.65
image_0181.jpg,11789.37
image_0296.jpg,11948.02
image_0333.jpg,12325.78
image_0598.jpg,12337.33
image_0942.jpg,12508.78
image_1126.jpg,12616.65
image_0420.jpg,12696.28
image_0216.jpg,12761.21
image_0023.jpg,12968.78
image_0057.jpg,13229.1
image_0852.jpg,13236.21
image_0868.jpg,13413.39
image_0827.jpg,13464.34
image_0616.jpg,13810.21
image_0705.jpg,13873.48
image_0208.jpg,13954.14
image_0166.jpg,14151.97
image_0171.jpg,14164.94
image_0013.jpg,14306.61
image_0245.jpg,14503.86
image_0162.jpg,14855.15
image_0239.jpg,15155.35
image_0199.jpg,15243.56
image_0697.jpg,15403.03
image_0582.jpg,15507.76
image_1129.jpg,15716.49
image_0591.jpg,15718.83
image_0938.jpg,15818.19
image_0141.jpg,15961.04
image_0739.jpg,15984.79
image_1166.jpg,16074.2
image_1072.jpg,16143.41
image_1151.jpg,16296.81
image_1170.jpg,16302.17
image_0692.jpg,16562.98
image_0210.jpg,16697.44
image_0684.jpg,16910.1
image_1306.jpg,16994.47
image_0314.jpg,16999.65
image_0905.jpg,17220.33
image_0359.jpg,17319.5
image_0802.jpg,17397.81
image_0841.jpg,17397.84
image_0345.jpg,17533.18
image_0949.jpg,17619.58
image_0901.jpg,17671.56
image_0994.jpg,17683.51
image_0022.jpg,17749.51
image_0497.jpg,18030.86
image_0202.jpg,18834.77
image_0097.jpg,19232.53
image_0185.jpg,19374.34
image_1134.jpg,19410.04
image_0461.jpg,19679.57
image_0529.jpg,20067.25
image_0918.jpg,20202.38
image_1246.jpg,20306.96
image_0575.jpg,20349.19
image_1098.jpg,20453.09
image_0352.jpg,20536.89
image_1357.jpg,20733.08
image_1336.jpg,21012.86
image_0112.jpg,21096.74
image_0487.jpg,21241.78
image_1058.jpg,21350.37
image_0847.jpg,22501.88
image_0821.jpg,22504.6
image_0850.jpg,23015.96
